Country,Indicator,Region,Subregion,Unit,Year,Clear,Female Firearm chart,Female Firearms,Female Other  ,Female Other chart ,Female Sharp,Female Sharp chart,Female Unknown,Female Unknown chart ,Male Firearms,Male Firearms chart,Male Other ,Male Other chart ,Male Sharp,Male Sharp chart,Male Unknown,Male Unknown chart ,Number of Records,Onlyrates,rate,Round rate and count
"China, Hong Kong Special Administrative Region",Other Mechanism rate,Asia,Eastern Asia,Rate,2004,0,,,,,,,,,,,,,,,,,1,,0.4,0.4
"China, Hong Kong Special Administrative Region",Unknown Mechanism rate,Asia,Eastern Asia,Rate,2004,0,,,,,,,,,,,,,,,,,1,0,0,0
"China, Hong Kong Special Administrative Region",Male homicide by Firearms,Asia,Eastern Asia,Count,2004,0,,,,,,,,,,,,,,,,,1,,1,1
"China, Hong Kong Special Administrative Region",Female homicide by Firearms,Asia,Eastern Asia,Count,2004,0,,,,,,,,,,,,,,,,,1,,0,0
"China, Hong Kong Special Administrative Region",Male homicide by Sharp Objects,Asia,Eastern Asia,Count,2004,0,,,,,,,,,,,,,,,,,1,,5,5
"China, Hong Kong Special Administrative Region",Female homicide by Sharp Objects,Asia,Eastern Asia,Count,2004,0,,,,,,,,,,,,,,,,,1,,8,8
"China, Hong Kong Special Administrative Region",Male homicide by Other Mechanisms,Asia,Eastern Asia,Count,2004,0,,,,,,,,,,,,,,,,,1,,17,17
"China, Hong Kong Special Administrative Region",Female homicide by Other Mechanisms,Asia,Eastern Asia,Count,2004,0,,,,,,,,,,,,,,,,,1,,12,12
"China, Hong Kong Special Administrative Region",Male homicide by Unknown Mechanisms,Asia,Eastern Asia,Count,2004,0,,,,,,,,,,,,,,,,,1,,2,2
"China, Hong Kong Special Administrative Region",Female homicide by Unknown Mechanisms,Asia,Eastern Asia,Count,2004,0,,,,,,,,,,,,,,,,,1,,0,0
"China, Hong Kong Special Administrative Region",Male homicide rate by Firearms,Asia,Eastern Asia,Rate,2004,0,,,,,,,,,0,,,,,,,,1,,0,0
"China, Hong Kong Special Administrative Region",Female homicide rate by Firearms,Asia,Eastern Asia,Rate,2004,0,,0,,,,,,,,,,,,,,,1,,0,0
"China, Hong Kong Special Administrative Region",Male homicide rate by Sharp Objects,Asia,Eastern Asia,Rate,2004,0,,,,,,,,,,,,,0.2,,,,1,,0.2,0.2
"China, Hong Kong Special Administrative Region",Female homicide rate by Sharp Objects,Asia,Eastern Asia,Rate,2004,0,,,,,0.2,,,,,,,,,,,,1,,0.2,0.2
"China, Hong Kong Special Administrative Region",Male homicide rate by Other Mechanisms,Asia,Eastern Asia,Rate,2004,0,,,,,,,,,,,0.5,,,,,,1,,0.5,0.5
"China, Hong Kong Special Administrative Region",Female homicide rate by Other Mechanisms,Asia,Eastern Asia,Rate,2004,0,,,0.3,,,,,,,,,,,,,,1,,0.3,0.3
"China, Hong Kong Special Administrative Region",Male homicide rate by Unknown Mechanisms,Asia,Eastern Asia,Rate,2004,0,,,,,,,,,,,,,,,0.1,0.1,1,,0.1,0.1
"China, Hong Kong Special Administrative Region",Female homicide rate by Unknown Mechanisms,Asia,Eastern Asia,Rate,2004,0,,,,,,,0,0,,,,,,,,,1,,0,0
India,homicide by Firearms,Asia,Southern Asia,Count,2004,0,,,,,,,,,,,,,,,,,1,,"8,434","8,434"
India,Firearms rate,Asia,Southern Asia,Rate,2004,0,,,,,,,,,,,,,,,,,1,,0.7,0.7
Armenia,homicide by Firearms,Asia,Western Asia,Count,2005,0,,,,,,,,,,,,,,,,,1,,7,7
Armenia,homicide by Sharp Objects,Asia,Western Asia,Count,2005,0,,,,,,,,,,,,,,,,,1,,20,20
Armenia,homicide by Other Mechanisms,Asia,Western Asia,Count,2005,0,,,,,,,,,,,,,,,,,1,,31,31
Armenia,homicide by Unknown Mechanisms,Asia,Western Asia,Count,2005,0,,,,,,,,,,,,,,,,,1,,0,0
Armenia,Firearms rate,Asia,Western Asia,Rate,2005,0,,,,,,,,,,,,,,,,,1,,0.2,0.2
Armenia,Sharp Objects rate,Asia,Western Asia,Rate,2005,0,,,,,,,,,,,,,,,,,1,,0.7,0.7
Armenia,Other Mechanism rate,Asia,Western Asia,Rate,2005,0,,,,,,,,,,,,,,,,,1,,1,1
Armenia,Unknown Mechanism rate,Asia,Western Asia,Rate,2005,0,,,,,,,,,,,,,,,,,1,0,0,0
Armenia,Male homicide by Firearms,Asia,Western Asia,Count,2005,0,,,,,,,,,,,,,,,,,1,,7,7
Armenia,Female homicide by Firearms,Asia,Western Asia,Count,2005,0,,,,,,,,,,,,,,,,,1,,0,0
Armenia,Male homicide by Sharp Objects,Asia,Western Asia,Count,2005,0,,,,,,,,,,,,,,,,,1,,20,20
Armenia,Female homicide by Sharp Objects,Asia,Western Asia,Count,2005,0,,,,,,,,,,,,,,,,,1,,0,0
Armenia,Male homicide rate by Firearms,Asia,Western Asia,Rate,2005,0,,,,,,,,,0.5,,,,,,,,1,,0.5,0.5
Armenia,Female homicide rate by Firearms,Asia,Western Asia,Rate,2005,0,,0,,,,,,,,,,,,,,,1,,0,0
Armenia,Male homicide rate by Sharp Objects,Asia,Western Asia,Rate,2005,0,,,,,,,,,,,,,1.4,,,,1,,1.4,1.4
Armenia,Female homicide rate by Sharp Objects,Asia,Western Asia,Rate,2005,0,,,,,0,,,,,,,,,,,,1,,0,0
Aruba,homicide by Firearms,Americas,Caribbean,Count,2005,0,,,,,,,,,,,,,,,,,1,,3,3
Aruba,homicide by Sharp Objects,Americas,Caribbean,Count,2005,0,,,,,,,,,,,,,,,,,1,,3,3
Aruba,homicide by Other Mechanisms,Americas,Caribbean,Count,2005,0,,,,,,,,,,,,,,,,,1,,0,0
Aruba,homicide by Unknown Mechanisms,Americas,Caribbean,Count,2005,0,,,,,,,,,,,,,,,,,1,,0,0
Aruba,Firearms rate,Americas,Caribbean,Rate,2005,0,,,,,,,,,,,,,,,,,1,,3,3
Aruba,Sharp Objects rate,Americas,Caribbean,Rate,2005,0,,,,,,,,,,,,,,,,,1,,3,3
Aruba,Other Mechanism rate,Americas,Caribbean,Rate,2005,0,,,,,,,,,,,,,,,,,1,,0,0
Aruba,Unknown Mechanism rate,Americas,Caribbean,Rate,2005,0,,,,,,,,,,,,,,,,,1,0,0,0
Aruba,Male homicide by Firearms,Americas,Caribbean,Count,2005,0,,,,,,,,,,,,,,,,,1,,3,3
Aruba,Female homicide by Firearms,Americas,Caribbean,Count,2005,0,,,,,,,,,,,,,,,,,1,,0,0
Aruba,Male homicide by Sharp Objects,Americas,Caribbean,Count,2005,0,,,,,,,,,,,,,,,,,1,,2,2
Aruba,Female homicide by Sharp Objects,Americas,Caribbean,Count,2005,0,,,,,,,,,,,,,,,,,1,,1,1
Aruba,Male homicide rate by Firearms,Americas,Caribbean,Rate,2005,0,,,,,,,,,6.3,,,,,,,,1,,6.3,6.3
Aruba,Female homicide rate by Firearms,Americas,Caribbean,Rate,2005,0,,0,,,,,,,,,,,,,,,1,,0,0
Aruba,Male homicide rate by Sharp Objects,Americas,Caribbean,Rate,2005,0,,,,,,,,,,,,,4.2,,,,1,,4.2,4.2
Aruba,Female homicide rate by Sharp Objects,Americas,Caribbean,Rate,2005,0,,,,,1.9,,,,,,,,,,,,1,,1.9,1.9
Australia,homicide by Firearms,Oceania,Australia and New Zealand,Count,2005,0,,,,,,,,,,,,,,,,,1,,27,27
Australia,homicide by Sharp Objects,Oceania,Australia and New Zealand,Count,2005,0,,,,,,,,,,,,,,,,,1,,93,93
Australia,homicide by Other Mechanisms,Oceania,Australia and New Zealand,Count,2005,0,,,,,,,,,,,,,,,,,1,,138,138
Australia,homicide by Unknown Mechanisms,Oceania,Australia and New Zealand,Count,2005,0,,,,,,,,,,,,,,,,,1,,0,0
Australia,Firearms rate,Oceania,Australia and New Zealand,Rate,2005,0,,,,,,,,,,,,,,,,,1,,0.1,0.1
Australia,Sharp Objects rate,Oceania,Australia and New Zealand,Rate,2005,0,,,,,,,,,,,,,,,,,1,,0.5,0.5
Australia,Other Mechanism rate,Oceania,Australia and New Zealand,Rate,2005,0,,,,,,,,,,,,,,,,,1,,0.7,0.7
Australia,Unknown Mechanism rate,Oceania,Australia and New Zealand,Rate,2005,0,,,,,,,,,,,,,,,,,1,0,0,0
Australia,Male homicide by Firearms,Oceania,Australia and New Zealand,Count,2005,0,,,,,,,,,,,,,,,,,1,,20,20
Australia,Female homicide by Firearms,Oceania,Australia and New Zealand,Count,2005,0,,,,,,,,,,,,,,,,,1,,3,3
Australia,Male homicide by Sharp Objects,Oceania,Australia and New Zealand,Count,2005,0,,,,,,,,,,,,,,,,,1,,47,47
Australia,Female homicide by Sharp Objects,Oceania,Australia and New Zealand,Count,2005,0,,,,,,,,,,,,,,,,,1,,31,31
Australia,Male homicide by Other Mechanisms,Oceania,Australia and New Zealand,Count,2005,0,,,,,,,,,,,,,,,,,1,,73,73
Australia,Female homicide by Other Mechanisms,Oceania,Australia and New Zealand,Count,2005,0,,,,,,,,,,,,,,,,,1,,43,43
Australia,Male homicide by Unknown Mechanisms,Oceania,Australia and New Zealand,Count,2005,0,,,,,,,,,,,,,,,,,1,,2,2
Australia,Female homicide by Unknown Mechanisms,Oceania,Australia and New Zealand,Count,2005,0,,,,,,,,,,,,,,,,,1,,4,4
Australia,Male homicide rate by Firearms,Oceania,Australia and New Zealand,Rate,2005,0,,,,,,,,,0.2,,,,,,,,1,,0.2,0.2
Australia,Female homicide rate by Firearms,Oceania,Australia and New Zealand,Rate,2005,0,,0,,,,,,,,,,,,,,,1,,0,0
Australia,Male homicide rate by Sharp Objects,Oceania,Australia and New Zealand,Rate,2005,0,,,,,,,,,,,,,0.5,,,,1,,0.5,0.5
Australia,Female homicide rate by Sharp Objects,Oceania,Australia and New Zealand,Rate,2005,0,,,,,0.3,,,,,,,,,,,,1,,0.3,0.3
Australia,Male homicide rate by Other Mechanisms,Oceania,Australia and New Zealand,Rate,2005,0,,,,,,,,,,,0.7,,,,,,1,,0.7,0.7
Australia,Female homicide rate by Other Mechanisms,Oceania,Australia and New Zealand,Rate,2005,0,,,0.4,,,,,,,,,,,,,,1,,0.4,0.4
Australia,Male homicide rate by Unknown Mechanisms,Oceania,Australia and New Zealand,Rate,2005,0,,,,,,,,,,,,,,,0,0,1,,0,0
Australia,Female homicide rate by Unknown Mechanisms,Oceania,Australia and New Zealand,Rate,2005,0,,,,,,,0,0,,,,,,,,,1,,0,0
Austria,homicide by Firearms,Europe,Western Europe,Count,2005,0,,,,,,,,,,,,,,,,,1,,10,10
Austria,homicide by Sharp Objects,Europe,Western Europe,Count,2005,0,,,,,,,,,,,,,,,,,1,,15,15
Austria,homicide by Other Mechanisms,Europe,Western Europe,Count,2005,0,,,,,,,,,,,,,,,,,1,,29,29
Austria,homicide by Unknown Mechanisms,Europe,Western Europe,Count,2005,0,,,,,,,,,,,,,,,,,1,,0,0
Austria,Firearms rate,Europe,Western Europe,Rate,2005,0,,,,,,,,,,,,,,,,,1,,0.1,0.1
Austria,Sharp Objects rate,Europe,Western Europe,Rate,2005,0,,,,,,,,,,,,,,,,,1,,0.2,0.2
Austria,Other Mechanism rate,Europe,Western Europe,Rate,2005,0,,,,,,,,,,,,,,,,,1,,0.4,0.4
Austria,Unknown Mechanism rate,Europe,Western Europe,Rate,2005,0,,,,,,,,,,,,,,,,,1,0,0,0
Austria,Male homicide by Firearms,Europe,Western Europe,Count,2005,0,,,,,,,,,,,,,,,,,1,,3,3
Austria,Female homicide by Firearms,Europe,Western Europe,Count,2005,0,,,,,,,,,,,,,,,,,1,,7,7
Austria,Male homicide by Sharp Objects,Europe,Western Europe,Count,2005,0,,,,,,,,,,,,,,,,,1,,10,10
Austria,Female homicide by Sharp Objects,Europe,Western Europe,Count,2005,0,,,,,,,,,,,,,,,,,1,,4,4
Austria,Male homicide by Other Mechanisms,Europe,Western Europe,Count,2005,0,,,,,,,,,,,,,,,,,1,,16,16
Austria,Female homicide by Other Mechanisms,Europe,Western Europe,Count,2005,0,,,,,,,,,,,,,,,,,1,,13,13
Austria,Male homicide rate by Firearms,Europe,Western Europe,Rate,2005,0,,,,,,,,,0.1,,,,,,,,1,,0.1,0.1
Austria,Female homicide rate by Firearms,Europe,Western Europe,Rate,2005,0,,0.2,,,,,,,,,,,,,,,1,,0.2,0.2
Austria,Male homicide rate by Sharp Objects,Europe,Western Europe,Rate,2005,0,,,,,,,,,,,,,0.3,,,,1,,0.3,0.3
Austria,Female homicide rate by Sharp Objects,Europe,Western Europe,Rate,2005,0,,,,,0.1,,,,,,,,,,,,1,,0.1,0.1
Austria,Male homicide rate by Other Mechanisms,Europe,Western Europe,Rate,2005,0,,,,,,,,,,,0.4,,,,,,1,,0.4,0.4
Austria,Female homicide rate by Other Mechanisms,Europe,Western Europe,Rate,2005,0,,,0.3,,,,,,,,,,,,,,1,,0.3,0.3
Bahamas,homicide by Firearms,Americas,Caribbean,Count,2005,0,,,,,,,,,,,,,,,,,1,,35,35
Bahamas,homicide by Sharp Objects,Americas,Caribbean,Count,2005,0,,,,,,,,,,,,,,,,,1,,11,11
Bahamas,homicide by Other Mechanisms,Americas,Caribbean,Count,2005,0,,,,,,,,,,,,,,,,,1,,3,3
Bahamas,homicide by Unknown Mechanisms,Americas,Caribbean,Count,2005,0,,,,,,,,,,,,,,,,,1,,3,3
Bahamas,Firearms rate,Americas,Caribbean,Rate,2005,0,,,,,,,,,,,,,,,,,1,,10.7,10.7
Bahamas,Sharp Objects rate,Americas,Caribbean,Rate,2005,0,,,,,,,,,,,,,,,,,1,,3.3,3.3
Bahamas,Other Mechanism rate,Americas,Caribbean,Rate,2005,0,,,,,,,,,,,,,,,,,1,,0.9,0.9
Bahamas,Unknown Mechanism rate,Americas,Caribbean,Rate,2005,1,,,,,,,,,,,,,,,,,1,0.9,0.9,0.9
Bahamas,Male homicide by Firearms,Americas,Caribbean,Count,2005,0,,,,,,,,,,,,,,,,,1,,32,32
Bahamas,Female homicide by Firearms,Americas,Caribbean,Count,2005,0,,,,,,,,,,,,,,,,,1,,3,3
Bahamas,Male homicide by Sharp Objects,Americas,Caribbean,Count,2005,0,,,,,,,,,,,,,,,,,1,,10,10
Bahamas,Female homicide by Sharp Objects,Americas,Caribbean,Count,2005,0,,,,,,,,,,,,,,,,,1,,1,1
Bahamas,Male homicide by Other Mechanisms,Americas,Caribbean,Count,2005,0,,,,,,,,,,,,,,,,,1,,0,0
Bahamas,Female homicide by Other Mechanisms,Americas,Caribbean,Count,2005,0,,,,,,,,,,,,,,,,,1,,3,3
Bahamas,Male homicide by Unknown Mechanisms,Americas,Caribbean,Count,2005,0,,,,,,,,,,,,,,,,,1,,1,1
Bahamas,Female homicide by Unknown Mechanisms,Americas,Caribbean,Count,2005,0,,,,,,,,,,,,,,,,,1,,2,2
Bahamas,Male homicide rate by Firearms,Americas,Caribbean,Rate,2005,0,,,,,,,,,20.1,,,,,,,,1,,20.1,20.1
Bahamas,Female homicide rate by Firearms,Americas,Caribbean,Rate,2005,0,,1.7,,,,,,,,,,,,,,,1,,1.7,1.7
Bahamas,Male homicide rate by Sharp Objects,Americas,Caribbean,Rate,2005,0,,,,,,,,,,,,,6.1,,,,1,,6.1,6.1
Bahamas,Female homicide rate by Sharp Objects,Americas,Caribbean,Rate,2005,0,,,,,0.6,,,,,,,,,,,,1,,0.6,0.6
Bahamas,Male homicide rate by Other Mechanisms,Americas,Caribbean,Rate,2005,0,,,,,,,,,,,0,,,,,,1,,0,0
Bahamas,Female homicide rate by Other Mechanisms,Americas,Caribbean,Rate,2005,0,,,1.7,,,,,,,,,,,,,,1,,1.7,1.7
Bahamas,Male homicide rate by Unknown Mechanisms,Americas,Caribbean,Rate,2005,0,,,,,,,,,,,,,,,0.6,0.6,1,,0.6,0.6
Bahamas,Female homicide rate by Unknown Mechanisms,Americas,Caribbean,Rate,2005,0,,,,,,,1.2,1.2,,,,,,,,,1,,1.2,1.2
Belgium,homicide by Firearms,Europe,Western Europe,Count,2005,0,,,,,,,,,,,,,,,,,1,,62,62
Belgium,homicide by Sharp Objects,Europe,Western Europe,Count,2005,0,,,,,,,,,,,,,,,,,1,,58,58
Belgium,homicide by Other Mechanisms,Europe,Western Europe,Count,2005,0,,,,,,,,,,,,,,,,,1,,79,79
Belgium,homicide by Unknown Mechanisms,Europe,Western Europe,Count,2005,0,,,,,,,,,,,,,,,,,1,,22,22
